,name,ageDuringRace,points
2459,Felipe Nasr,24,2.0
2460,Carlos Sainz,21,0.0
2461,Carlos Sainz,22,8.0
2462,Carlos Sainz,23,0.0
2463,Carlos Sainz,24,0.0
2464,Carlos Sainz,25,15.0
2465,Max Verstappen,18,2.0
2466,Max Verstappen,19,15.0
2467,Max Verstappen,20,10.0
2468,Max Verstappen,21,18.0
2469,Max Verstappen,22,25.0
2470,Alexander Rossi,24,0.0
2472,Jolyon Palmer,25,0.0
2473,Pascal Wehrlein,22,0.0
2474,Pascal Wehrlein,23,0.0
2475,Stoffel Vandoorne,25,0.0
2476,Stoffel Vandoorne,26,0.0
2477,Esteban Ocon,20,0.0
2478,Esteban Ocon,21,0.0
2479,Esteban Ocon,22,0.0
2480,Antonio Giovinazzi,25,10.0
2481,Lance Stroll,19,0.0
2482,Lance Stroll,20,0.0
2483,Lance Stroll,21,0.0
2484,Pierre Gasly,21,0.0
2485,Pierre Gasly,22,0.0
2486,Pierre Gasly,23,18.0
2487,Brendon Hartley,28,0.0
2488,Brendon Hartley,29,0.0
2489,Charles Leclerc,21,6.0
2490,Charles Leclerc,22,0.0
2491,Sergey Sirotkin,23,0.0
2492,Lando Norris,20,4.0
2493,Alexander Albon,23,0.0
2494,George Russell,21,0.0
2495,Robert Kubica,34,0.0
2497,Nico Rosberg,29,0.0
2498,Nico Rosberg,30,25.0
2499,Nico Rosberg,31,18.0
2500,Kevin Magnussen,22,0.0
2501,Kevin Magnussen,24,0.0
2502,Kevin Magnussen,25,0.0
2503,Kevin Magnussen,26,1.0
2504,Kevin Magnussen,27,0.0
2505,Kevin Magnussen,28,0.0
2506,Jenson Button,34,20.0
2507,Jenson Button,35,0.0
2508,Jenson Button,36,0.0
2509,Fernando Alonso,33,4.0
2510,Fernando Alonso,34,0.0
2511,Fernando Alonso,35,1.0
2512,Fernando Alonso,36,2.0
2513,Fernando Alonso,37,0.0
2514,Valtteri Bottas,25,30.0
2515,Valtteri Bottas,26,0.0
2516,Valtteri Bottas,27,0.0
2517,Valtteri Bottas,28,25.0
2518,Valtteri Bottas,29,10.0
2519,Valtteri Bottas,30,12.0
2520,Valtteri Bottas,31,18.0
2521,Nico Hülkenberg,27,16.0
2522,Nico Hülkenberg,28,6.0
2523,Nico Hülkenberg,29,6.0
2524,Nico Hülkenberg,30,8.0
2525,Nico Hülkenberg,31,0.0
2526,Nico Hülkenberg,32,0.0
2527,Kimi Räikkönen,35,2.0
2528,Kimi Räikkönen,36,15.0
2529,Kimi Räikkönen,37,8.0
2530,Kimi Räikkönen,38,12.0
2531,Kimi Räikkönen,39,0.0
2532,Kimi Räikkönen,40,0.0
2533,Kimi Räikkönen,41,0.0
2534,Jean-Éric Vergne,24,0.0
2535,Daniil Kvyat,20,0.0
2536,Daniil Kvyat,21,1.0
2537,Daniil Kvyat,22,0.0
2538,Daniil Kvyat,25,2.0
2539,Daniil Kvyat,26,0.0
2540,Sergio Pérez,24,12.0
2541,Sergio Pérez,25,10.0
2542,Sergio Pérez,26,4.0
2543,Sergio Pérez,27,6.0
2544,Sergio Pérez,28,4.0
2545,Sergio Pérez,29,6.0
2546,Sergio Pérez,30,0.0
2547,Adrian Sutil,31,0.0
2548,Esteban Gutiérrez,23,0.0
2549,Esteban Gutiérrez,25,0.0
2550,Romain Grosjean,28,0.0
2551,Romain Grosjean,29,2.0
2552,Romain Grosjean,30,0.0
2553,Romain Grosjean,31,0.0
2554,Romain Grosjean,32,2.0
2555,Romain Grosjean,33,0.0
2556,Pastor Maldonado,29,0.0
2557,Pastor Maldonado,30,0.0
2558,Marcus Ericsson,25,0.0
2559,Marcus Ericsson,26,0.0
2560,Marcus Ericsson,27,0.0
2561,Marcus Ericsson,28,0.0
2562,Sebastian Vettel,27,8.0
2563,Sebastian Vettel,28,12.0
2564,Sebastian Vettel,29,15.0
2565,Sebastian Vettel,30,15.0
2566,Sebastian Vettel,31,18.0
2567,Sebastian Vettel,32,10.0
2568,Sebastian Vettel,33,0.0
2569,Lewis Hamilton,29,50.0
2570,Lewis Hamilton,30,18.0
2571,Lewis Hamilton,31,25.0
2572,Lewis Hamilton,32,18.0
2573,Lewis Hamilton,33,25.0
2574,Lewis Hamilton,34,26.0
2575,Lewis Hamilton,35,15.0
2576,Felipe Massa,33,36.0
2577,Felipe Massa,34,4.0
2578,Felipe Massa,35,2.0
2579,Felipe Massa,36,1.0
2580,Kamui Kobayashi,28,0.0
2581,Daniel Ricciardo,25,24.0
2582,Daniel Ricciardo,26,8.0
2583,Daniel Ricciardo,27,10.0
2584,Daniel Ricciardo,28,0.0
2585,Daniel Ricciardo,29,12.0
2586,Daniel Ricciardo,30,0.0
2587,Daniel Ricciardo,31,7.0
2588,Will Stevens,23,0.0
2589,Will Stevens,24,0.0
2590,Felipe Nasr,23,0.0
2591,Felipe Nasr,24,0.0
2592,Carlos Sainz,21,0.0
2593,Carlos Sainz,22,0.0
2594,Carlos Sainz,23,0.0
2595,Carlos Sainz,24,8.0
2596,Carlos Sainz,25,1.0
