,season,name,fault
1068,2020,Max Verstappen,1
1069,2015,Roberto Merhi,1
1070,2016,Jolyon Palmer,1
1071,2017,Jolyon Palmer,1
1072,2016,Pascal Wehrlein,1
1073,2017,Pascal Wehrlein,1
1074,2016,Rio Haryanto,1
1075,2017,Stoffel Vandoorne,1
1076,2018,Stoffel Vandoorne,0
1077,2017,Esteban Ocon,1
1078,2018,Esteban Ocon,1
1079,2020,Esteban Ocon,1
1081,2019,Antonio Giovinazzi,1
1082,2020,Antonio Giovinazzi,1
1083,2020,Antonio Giovinazzi,1
1084,2017,Lance Stroll,1
1085,2018,Lance Stroll,1
1086,2019,Lance Stroll,1
1088,2020,Lance Stroll,1
1089,2018,Pierre Gasly,1
1090,2019,Pierre Gasly,1
1091,2020,Pierre Gasly,1
1092,2020,Pierre Gasly,1
1094,2018,Charles Leclerc,1
1095,2019,Charles Leclerc,1
1096,2020,Charles Leclerc,1
1097,2020,Charles Leclerc,0
1098,2018,Sergey Sirotkin,1
1099,2019,Lando Norris,1
1100,2020,Lando Norris,1
1101,2020,Lando Norris,1
1102,2019,Alexander Albon,1
1104,2020,Alexander Albon,1
1105,2019,George Russell,1
1107,2020,George Russell,1
1108,2019,Robert Kubica,1
1109,2020,Nicholas Latifi,1
1110,2020,Nicholas Latifi,1
1114,2015,Nico Rosberg,1
1115,2016,Nico Rosberg,1
1116,2014,Kevin Magnussen,1
1118,2017,Kevin Magnussen,1
1119,2018,Kevin Magnussen,1
1120,2019,Kevin Magnussen,0
1121,2020,Kevin Magnussen,0
1122,2020,Kevin Magnussen,0
1123,2014,Jenson Button,1
1124,2015,Jenson Button,0
1125,2016,Jenson Button,1
1126,2014,Fernando Alonso,1
1127,2015,Fernando Alonso,1
1128,2016,Fernando Alonso,1
1130,2018,Fernando Alonso,1
1131,2014,Valtteri Bottas,1
1132,2015,Valtteri Bottas,1
1133,2016,Valtteri Bottas,1
1134,2017,Valtteri Bottas,1
1135,2018,Valtteri Bottas,1
1136,2019,Valtteri Bottas,1
1137,2020,Valtteri Bottas,1
1138,2020,Valtteri Bottas,1
1139,2014,Nico Hülkenberg,1
1140,2015,Nico Hülkenberg,1
1141,2016,Nico Hülkenberg,1
1142,2017,Nico Hülkenberg,1
1143,2018,Nico Hülkenberg,1
1144,2019,Nico Hülkenberg,1
1146,2020,Nico Hülkenberg,1
1147,2014,Kimi Räikkönen,0
1148,2015,Kimi Räikkönen,1
1149,2016,Kimi Räikkönen,1
1150,2017,Kimi Räikkönen,1
1151,2018,Kimi Räikkönen,1
1152,2019,Kimi Räikkönen,1
1153,2020,Kimi Räikkönen,1
1154,2020,Kimi Räikkönen,1
1155,2014,Jean-Éric Vergne,1
1156,2014,Daniil Kvyat,1
1157,2015,Daniil Kvyat,1
1158,2016,Daniil Kvyat,1
1159,2017,Daniil Kvyat,1
1160,2019,Daniil Kvyat,1
1161,2020,Daniil Kvyat,0
1162,2020,Daniil Kvyat,1
1163,2014,Sergio Pérez,1
1164,2015,Sergio Pérez,1
1165,2016,Sergio Pérez,1
1166,2017,Sergio Pérez,1
1167,2018,Sergio Pérez,1
1168,2019,Sergio Pérez,1
1169,2014,Adrian Sutil,1
1170,2014,Esteban Gutiérrez,0
1171,2016,Esteban Gutiérrez,1
1172,2014,Max Chilton,1
1173,2014,Jules Bianchi,1
1174,2014,Romain Grosjean,1
1175,2015,Romain Grosjean,0
1176,2016,Romain Grosjean,0
1177,2017,Romain Grosjean,1
1178,2018,Romain Grosjean,0
1179,2019,Romain Grosjean,0
1180,2020,Romain Grosjean,1
1181,2020,Romain Grosjean,1
1182,2014,Pastor Maldonado,1
1183,2015,Pastor Maldonado,0
1185,2015,Marcus Ericsson,1
1187,2017,Marcus Ericsson,1
1188,2018,Marcus Ericsson,0
1189,2014,Sebastian Vettel,1
1190,2015,Sebastian Vettel,1
1191,2016,Sebastian Vettel,1
1192,2017,Sebastian Vettel,1
1193,2018,Sebastian Vettel,1
1194,2019,Sebastian Vettel,1
1195,2020,Sebastian Vettel,1
1196,2020,Sebastian Vettel,1
1197,2014,Lewis Hamilton,1
1198,2015,Lewis Hamilton,1
1199,2016,Lewis Hamilton,1
1200,2017,Lewis Hamilton,1
1201,2018,Lewis Hamilton,1
1202,2019,Lewis Hamilton,1
1203,2020,Lewis Hamilton,1
1204,2020,Lewis Hamilton,1
1205,2014,Felipe Massa,0
1206,2015,Felipe Massa,1
1207,2016,Felipe Massa,1
1208,2017,Felipe Massa,1
1209,2014,Kamui Kobayashi,1
1210,2014,Daniel Ricciardo,1
1212,2016,Daniel Ricciardo,1
1213,2017,Daniel Ricciardo,1
1214,2018,Daniel Ricciardo,1
1215,2019,Daniel Ricciardo,1
1216,2020,Daniel Ricciardo,1
1217,2020,Daniel Ricciardo,1
1218,2015,Will Stevens,1
1220,2016,Felipe Nasr,1
1222,2016,Carlos Sainz,1
1223,2017,Carlos Sainz,0
1224,2018,Carlos Sainz,0
1225,2019,Carlos Sainz,1
1226,2020,Carlos Sainz,1
1227,2020,Carlos Sainz,1
1228,2015,Max Verstappen,0
1229,2016,Max Verstappen,1
1230,2017,Max Verstappen,1
1232,2019,Max Verstappen,1
1233,2020,Max Verstappen,1
1234,2020,Max Verstappen,1
1235,2015,Roberto Merhi,1
1238,2016,Pascal Wehrlein,0
