,season,constructor,fault
771,2019,renault,0
772,2021,mclaren,0
773,2015,manor,0
774,2015,alfa,0
776,2015,alphatauri,0
777,2016,alphatauri,0
778,2017,alphatauri,0
779,2018,renault,0
780,2019,mclaren,0
781,2021,ferrari,0
784,2017,red_bull,0
785,2018,red_bull,0
786,2019,red_bull,0
787,2021,red_bull,0
788,2015,manor,0
790,2017,renault,0
791,2016,manor,0
793,2016,manor,0
795,2018,mclaren,0
796,2017,racing_point,0
797,2018,racing_point,0
798,2021,renault,0
799,2019,alfa,0
800,2021,alfa,0
801,2017,williams,1
802,2018,williams,0
803,2019,racing_point,0
804,2021,racing_point,0
805,2018,alphatauri,0
806,2019,red_bull,0
807,2021,alphatauri,0
811,2021,ferrari,1
812,2018,williams,0
813,2019,mclaren,0
814,2021,mclaren,0
815,2019,alphatauri,0
816,2019,williams,0
817,2021,williams,0
818,2019,williams,0
819,2021,williams,0
820,2021,alphatauri,0
821,2021,haas,0
822,2021,haas,0
823,2014,mercedes,0
824,2015,mercedes,0
825,2016,mercedes,0
826,2014,mclaren,0
827,2016,renault,0
828,2017,haas,0
829,2018,haas,0
830,2019,haas,0
831,2014,mclaren,0
833,2016,mclaren,1
834,2014,ferrari,0
835,2015,mclaren,1
836,2016,mclaren,0
837,2017,mclaren,1
838,2018,mclaren,1
839,2014,williams,0
840,2015,williams,0
841,2016,williams,0
842,2017,mercedes,0
843,2018,mercedes,0
844,2019,mercedes,0
845,2014,racing_point,0
846,2015,racing_point,0
847,2016,racing_point,0
848,2017,renault,0
849,2018,renault,0
850,2019,renault,0
851,2014,ferrari,0
852,2015,ferrari,0
853,2016,ferrari,0
854,2017,ferrari,0
855,2018,ferrari,0
856,2019,alfa,0
857,2014,alphatauri,0
858,2014,alphatauri,1
859,2015,red_bull,0
860,2016,alphatauri,0
861,2017,alphatauri,1
862,2019,alphatauri,0
864,2015,racing_point,0
865,2016,racing_point,0
866,2017,racing_point,0
867,2018,racing_point,0
868,2019,racing_point,0
869,2014,alfa,0
870,2014,alfa,1
871,2016,haas,0
875,2015,renault,0
876,2016,haas,0
877,2017,haas,0
878,2018,haas,0
879,2019,haas,0
880,2014,renault,1
881,2015,renault,0
882,2014,caterham,1
883,2015,alfa,0
884,2016,alfa,0
885,2017,alfa,0
886,2018,alfa,0
887,2014,red_bull,0
888,2015,ferrari,0
889,2016,ferrari,0
890,2017,ferrari,0
891,2018,ferrari,0
892,2019,ferrari,0
893,2014,mercedes,1
894,2015,mercedes,0
895,2016,mercedes,0
