,constructor,fault
916,renault,1
917,mclaren,1
918,alphatauri,1
919,red_bull,1
920,red_bull,0
921,red_bull,1
922,red_bull,1
925,renault,1
926,manor,1
927,alfa,1
928,manor,1
929,mclaren,1
930,mclaren,1
931,racing_point,1
932,racing_point,1
933,alfa,1
934,williams,1
936,racing_point,1
937,alphatauri,1
938,red_bull,1
940,alfa,1
941,ferrari,1
942,williams,1
943,mclaren,0
945,williams,1
946,williams,1
947,mercedes,1
948,mercedes,1
949,mercedes,1
950,mclaren,1
951,renault,1
952,haas,0
953,haas,1
954,haas,1
955,haas,0
956,haas,1
957,mclaren,1
959,mclaren,1
960,ferrari,1
962,mclaren,0
964,mclaren,1
965,williams,1
966,williams,1
967,williams,1
968,mercedes,1
969,mercedes,0
970,mercedes,1
971,mercedes,1
972,mercedes,1
973,racing_point,1
974,racing_point,1
975,racing_point,0
976,renault,1
977,renault,0
978,renault,1
979,ferrari,1
981,ferrari,1
982,ferrari,1
983,ferrari,1
984,alfa,1
985,alfa,0
986,alfa,1
987,alphatauri,0
988,alphatauri,0
989,red_bull,1
991,alphatauri,1
992,alphatauri,1
993,alphatauri,0
994,alphatauri,1
995,racing_point,1
996,racing_point,1
997,racing_point,0
998,racing_point,1
999,racing_point,1
1000,racing_point,1
1001,racing_point,1
1002,racing_point,1
1003,alfa,1
1004,alfa,1
1005,haas,1
1006,manor,1
1007,manor,1
1008,renault,1
1009,renault,0
1010,haas,1
1011,haas,1
1012,haas,1
1013,haas,1
1014,haas,0
1015,haas,1
1016,renault,1
1017,renault,1
1018,caterham,1
1019,alfa,1
1020,alfa,1
1021,alfa,1
1022,alfa,1
1023,red_bull,0
1024,ferrari,1
1026,ferrari,1
1027,ferrari,1
1028,ferrari,1
1029,ferrari,1
1031,mercedes,1
1032,mercedes,1
1033,mercedes,1
1034,mercedes,1
1035,mercedes,0
1036,mercedes,1
1037,mercedes,1
1038,mercedes,1
1039,williams,1
1040,williams,1
1041,williams,0
1042,williams,1
1043,caterham,1
1044,red_bull,1
1045,red_bull,1
1046,red_bull,1
1047,red_bull,1
1048,red_bull,0
1049,renault,1
1050,renault,0
1051,renault,1
1052,manor,0
1053,alfa,1
1054,alfa,1
1055,alphatauri,0
1056,alphatauri,1
1057,alphatauri,0
1058,renault,1
1059,mclaren,1
1060,mclaren,1
1061,mclaren,1
1062,alphatauri,1
1063,red_bull,1
1065,red_bull,1
1066,red_bull,1
1067,red_bull,0
1068,red_bull,1
1069,manor,1
1070,renault,1
1071,renault,1
1072,manor,1
1073,alfa,1
1074,manor,1
1075,mclaren,1
1077,racing_point,1
1078,racing_point,1
1079,renault,1
1080,renault,0
1081,alfa,1
1082,alfa,1
1083,alfa,1
1084,williams,1
1085,williams,1
1086,racing_point,1
1087,racing_point,0
1088,racing_point,1
1089,alphatauri,1
1090,red_bull,1
1091,alphatauri,1
1092,alphatauri,1
1093,alphatauri,0
1094,alfa,1
1095,ferrari,1
1096,ferrari,1
1098,williams,1
1099,mclaren,1
1100,mclaren,1
1101,mclaren,1
1102,alphatauri,1
1103,red_bull,0
1104,red_bull,1
1105,williams,1
1106,williams,0
1107,williams,1
1108,williams,1
1109,williams,1
1110,williams,1
1111,,0
1112,,0
1113,mercedes,0
1114,mercedes,1
1115,mercedes,1
1116,mclaren,1
1117,renault,0
1118,haas,1
1119,haas,1
1123,mclaren,1
1125,mclaren,1
1126,ferrari,1
1127,mclaren,1
1128,mclaren,1
1129,mclaren,0
1130,mclaren,1
1131,williams,1
1132,williams,1
1133,williams,1
1134,mercedes,1
1135,mercedes,1
1136,mercedes,1
1137,mercedes,1
1138,mercedes,1
1139,racing_point,1
1140,racing_point,1
1141,racing_point,1
1142,renault,1
1143,renault,1
1144,renault,1
1145,racing_point,0
1146,racing_point,1
1148,ferrari,1
1149,ferrari,1
1150,ferrari,1
1151,ferrari,1
1152,alfa,1
1153,alfa,1
1154,alfa,1
1155,alphatauri,1
1156,alphatauri,1
1157,red_bull,1
1158,alphatauri,1
1159,alphatauri,1
1160,alphatauri,1
1162,alphatauri,1
1163,racing_point,1
1164,racing_point,1
1165,racing_point,1
1166,racing_point,1
1167,racing_point,1
1168,racing_point,1
1169,alfa,1
1171,haas,1
1172,manor,1
1173,manor,1
1174,renault,1
1177,haas,1
1180,haas,1
1181,haas,1
1182,renault,1
1184,caterham,0
1185,alfa,1
1186,alfa,0
1187,alfa,1
1189,red_bull,1
1190,ferrari,1
1191,ferrari,1
1192,ferrari,1
1193,ferrari,1
1194,ferrari,1
1195,ferrari,1
1196,ferrari,1
1197,mercedes,1
1198,mercedes,1
1199,mercedes,1
1200,mercedes,1
1201,mercedes,1
1202,mercedes,1
1203,mercedes,1
1204,mercedes,1
1206,williams,1
1207,williams,1
1208,williams,1
1209,caterham,1
1210,red_bull,1
1211,red_bull,0
1212,red_bull,1
1213,red_bull,1
1214,red_bull,1
1215,renault,1
1216,renault,1
1217,renault,1
1218,manor,1
1219,alfa,0
1220,alfa,1
1221,alphatauri,0
1222,alphatauri,1
1225,mclaren,1
1226,mclaren,1
1227,mclaren,1
1229,red_bull,1
1230,red_bull,1
1231,red_bull,0
1232,red_bull,1
1233,red_bull,1
1234,red_bull,1
1235,manor,1
1236,renault,0
